id,name,full_name,team,team_id,pos,pos_id,price,proj_gw,proj_6gw,proj_by_gw,mins_proj,value,sel_pct,pts_last,mins_last,ppg_last,goals_last,assists_last,xgi90_last,defcon_last,cs_last,bonus_last,status,news,joined,is_new,pens,corners,fk,fdr6,cs_rate,note
368,Szoboszlai,Dominik Szoboszlai,LIV,14,MID,3,7.0,3.92,23.52,"[3.733, 4.011, 4.02, 4.322, 3.733, 3.7]",84,0.56,47.2,160,3232,4.4,6,7,0.32,338,9,21,a,,2023-07-02,False,2,4,1,17,0.307,Iraola using him deeper; still on pens/corners/FKs but further from goal
82,Kelleher,Caoimhín Kelleher,BRE,4,GKP,1,5.0,3.895,23.37,"[4.162, 3.755, 4.585, 3.755, 3.738, 3.376]",88,0.779,5.6,143,3330,3.9,0,0,0.01,0,10,11,a,,2025-06-03,False,,,,19,0.232,
248,Beto,Norberto Bercique Gomes Betuncal,EVE,9,FWD,4,5.5,3.896,23.37,"[3.996, 3.689, 3.653, 3.689, 4.34, 4.007]",60,0.7083,3.2,104,1551,2.8,9,1,0.53,89,5,15,a,,2023-08-29,False,4,,,17,0.224,
400,Doku,Jérémy Doku,MCI,15,MID,3,7.5,3.892,23.35,"[4.037, 3.729, 4.381, 3.411, 4.381, 3.411]",59,0.5189,6.4,120,1773,4.0,5,8,0.45,126,8,15,a,,2023-08-24,False,4,,,18,0.312,
346,Calvert-Lewin,Dominic Calvert-Lewin,LEE,13,FWD,4,6.0,3.887,23.32,"[3.779, 4.094, 3.779, 4.447, 4.094, 3.128]",72,0.6478,22.9,142,2721,4.1,14,2,0.55,105,8,20,a,,2025-08-15,False,1,,,19,0.232,Brace in pre-season; 14 PL goals last season at £6.0m
226,Pickford,Jordan Pickford,EVE,9,GKP,1,5.5,3.808,22.85,"[3.947, 3.548, 3.535, 3.548, 4.359, 3.914]",90,0.6924,9.0,135,3420,3.6,0,0,0.01,0,11,11,a,,2017-07-01,False,,,,17,0.224,
11,Mosquera,Cristhian Mosquera,ARS,1,DEF,2,5.5,3.79,22.74,"[4.297, 3.309, 3.608, 3.615, 3.615, 4.297]",76,0.6892,16.6,40,986,2.0,0,0,0.07,95,3,1,a,,2025-07-24,False,,,,18,0.491,Should start with Saliba out long-term
529,Roefs,Robin Roefs,SUN,20,GKP,1,5.0,3.778,22.67,"[3.939, 4.374, 3.575, 3.56, 2.848, 4.374]",83,0.7557,5.2,136,3150,3.9,0,0,0.0,0,10,12,a,,2025-08-01,False,,,,18,0.247,
335,Stach,Anton Stach,LEE,13,MID,3,6.0,3.755,22.53,"[3.664, 3.932, 3.664, 4.232, 3.932, 3.109]",63,0.6259,1.3,137,2369,4.7,5,6,0.28,266,7,14,a,,2025-07-22,False,,4,1,19,0.232,
25,Gyökeres,Viktor Gyökeres,ARS,1,FWD,4,7.5,3.747,22.48,"[4.228, 3.284, 3.557, 3.593, 3.593, 4.228]",62,0.4996,13.0,128,2217,3.6,14,1,0.58,85,12,16,a,,2025-07-26,False,2,,,18,0.491,
201,Muñoz,Daniel Muñoz Mejía,CRY,8,DEF,2,5.5,3.744,22.46,"[3.561, 3.549, 3.561, 4.306, 3.561, 3.927]",65,0.6807,11.8,136,2400,4.7,4,4,0.24,196,10,9,a,,2024-01-30,False,,,,18,0.253,
527,Richarlison,Richarlison de Andrade,TOT,19,FWD,4,6.0,3.695,22.17,"[3.546, 4.162, 3.546, 3.837, 3.837, 3.245]",61,0.6159,1.9,119,1954,3.7,11,4,0.47,147,7,17,a,,2022-07-01,False,4,,,18,0.239,
384,Donnarumma,Gianluigi Donnarumma,MCI,15,GKP,1,5.5,3.675,22.05,"[3.87, 3.446, 4.299, 3.068, 4.299, 3.068]",81,0.6681,11.1,135,3060,4.0,0,0,0.0,0,15,5,a,,2025-09-01,False,,,,18,0.312,
371,Gravenberch,Ryan Gravenberch,LIV,14,MID,3,6.0,3.649,21.89,"[3.472, 3.735, 3.744, 4.03, 3.472, 3.44]",74,0.6082,1.9,144,2991,4.0,5,5,0.13,298,9,17,a,,2023-09-01,False,,,,17,0.307,
143,Chalobah,Trevoh Chalobah,CHE,6,DEF,2,5.5,3.629,21.77,"[3.455, 4.112, 2.86, 4.112, 3.455, 3.779]",73,0.6598,2.0,136,2780,4.0,3,1,0.08,265,9,7,a,,2018-02-16,False,,,,18,0.254,
109,Verbruggen,Bart Verbruggen,BHA,5,GKP,1,4.5,3.607,21.64,"[3.796, 3.067, 4.188, 3.767, 3.404, 3.417]",90,0.8015,16.8,130,3420,3.4,0,0,0.0,0,10,6,a,,2023-07-03,False,,,,18,0.271,
231,Keane,Michael Keane,EVE,9,DEF,2,5.0,3.589,21.53,"[3.684, 3.41, 3.399, 3.41, 3.968, 3.664]",67,0.7178,1.5,131,2588,4.0,3,1,0.1,302,7,8,a,,2017-07-03,False,,,,17,0.224,
152,Palestra,Marco Palestra,CHE,6,DEF,2,5.5,3.587,21.52,"[3.376, 4.168, 2.665, 4.168, 3.376, 3.767]",70,0.6521,1.5,0,0,0.0,0,0,0,0,0,0,a,,2026-07-01,True,,,,18,0.254,
366,Wirtz,Florian Wirtz,LIV,14,MID,3,7.5,3.573,21.44,"[3.386, 3.664, 3.673, 3.974, 3.386, 3.353]",66,0.4764,12.4,125,2374,3.8,5,4,0.45,176,10,17,a,,2025-06-20,False,4,6,2,17,0.307,
70,Kluivert,Justin Kluivert,BOU,3,MID,3,6.0,3.572,21.43,"[3.015, 3.932, 3.633, 3.932, 3.597, 3.324]",68,0.5954,1.1,41,945,2.0,2,0,0.37,65,4,3,a,,2023-07-01,False,2,,2,22,0.227,Bournemouth's pen taker with Kroupi injured; hat-trick incl. 2 pens v Genoa
154,Palmer,Cole Palmer,CHE,6,MID,3,9.5,3.562,21.37,"[3.413, 4.01, 2.831, 4.01, 3.413, 3.695]",58,0.3749,12.2,114,1954,4.4,10,2,0.6,135,3,11,a,,2023-09-01,False,1,,3,18,0.254,Chelsea's #1 penalty taker under Alonso
204,Mitchell,Tyrick Mitchell,CRY,8,DEF,2,4.5,3.562,21.37,"[3.378, 3.371, 3.378, 4.119, 3.378, 3.745]",84,0.7915,7.0,135,3253,3.6,1,3,0.11,245,12,8,a,,2019-12-15,False,,,,18,0.253,
525,Fernandes,Mateus Fernandes,TOT,19,MID,3,6.0,3.546,21.28,"[3.43, 3.907, 3.43, 3.655, 3.655, 3.198]",77,0.591,3.5,135,3017,3.8,3,4,0.15,369,8,7,a,,2026-07-02,True,,,,18,0.239,
198,Henderson,Dean Henderson,CRY,8,GKP,1,5.0,3.523,21.14,"[3.334, 3.323, 3.334, 4.101, 3.334, 3.712]",88,0.7046,3.1,131,3330,3.5,0,0,0.0,0,11,7,a,,2023-08-31,False,,,,18,0.253,
142,James,Reece James,CHE,6,DEF,2,5.5,3.518,21.11,"[3.329, 4.047, 2.674, 4.047, 3.329, 3.681]",60,0.6396,8.0,115,1957,4.0,2,6,0.2,128,8,11,a,,2019-05-15,False,,5,1,18,0.254,
237,Ndiaye,Iliman Ndiaye,EVE,9,MID,3,6.0,3.507,21.04,"[3.588, 3.339, 3.309, 3.339, 3.868, 3.597]",72,0.5844,16.5,128,2781,4.0,6,3,0.36,283,8,7,a,,2024-07-03,False,1,,,17,0.224,
515,Maddison,James Maddison,TOT,19,MID,3,6.5,3.506,21.04,"[3.353, 3.976, 3.353, 3.65, 3.65, 3.055]",75,0.5394,2.1,3,34,1.0,0,0,0.72,5,0,0,a,,2023-06-28,False,,,,18,0.239,
208,Sarr,Ismaïla Sarr,CRY,8,MID,3,6.5,3.504,21.02,"[3.365, 3.331, 3.365, 3.956, 3.365, 3.644]",64,0.5391,9.3,117,2173,4.2,9,2,0.5,137,9,9,a,,2024-08-01,False,2,,,18,0.253,
367,Gakpo,Cody Gakpo,LIV,14,MID,3,7.0,3.501,21.0,"[3.316, 3.591, 3.6, 3.9, 3.316, 3.283]",71,0.5001,3.5,131,2736,3.6,7,5,0.42,152,10,5,a,,2023-01-01,False,3,5,,17,0.307,
